Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
579--Waste; Parings And Scrap; Of Plastics,18798944,16359223,15875033,18900017,75964421,19712800,12534297,13076862,13083580,16902992,10024958,17505864,12436862,7497813,7888119
575--Plastics,130325469,129978236,188171006,224347575,146939615,164780349,212309164,172651319,272841043,301976652,401198476,499026110,669393997,606335967,527317752
574--Polyacetals and Epoxide Resins,1451506,2216184,14644178,135064390,118624166,87750541,144736758,116184557,98453190,190570470,135988445,131787892,183327832,125375055,94516026
573--Polymers Of Vinyl Chloride,3286923,2857806,8639026,19196498,21664808,27415701,37478687,25904979,53666973,109407711,87155144,67181102,72209033,69024223,66609254
572--Polymers Of Styrene,2023539,5288398,5722152,18683942,22595989,25100389,47901851,21240247,16417290,13371079,13721377,12166295,41834595,27065929,22737743
571--Polymers Of Ethylene,2021166,1686529,2660650,8976377,13195079,7127499,9518728,15620075,34937420,54640695,50871722,44104481,46444189,40827933,40949395
562--Fertilizers (Except Crude),3678985,56684361,49839242,19794444,46484566,200488312,342675342,97901595,259229003,194936544,177530095,313258006,791586761,622378887,230078074
554--Soap; Cleansing And Polishing Preparations,25918850,47187966,80662331,103529478,126933718,147014131,150381662,156047536,173172403,189939490,221767173,211843512,231830267,231701807,257912777
553--Perfumery; Cosmetics Or Toilet Preparations; Exce,188673713,204731226,241756190,312570972,373711490,493856799,558836261,536671871,657079459,734791043,852784739,824904846,873087149,988620445,1222889156
551--Essential Oils; Perfume And Flavor Materials,27966438,29016831,27238166,35176057,43988662,42865674,50654513,37366386,52402843,62575907,65205048,76175394,79697743,93725943,93134312
542--Medicaments (Including Veterinary Medicaments),11435297,14050050,13362121,14109957,16552844,45068561,73163751,44282429,69602076,112058621,156835035,156287508,256761587,319561834,420316592
541--Medicinal Products; Except Medicaments,329291564,430161162,514477975,649873582,699030591,896836026,1457941318,1542997234,1686004798,1754910979,1753222343,1686852001,1757172695,1951408290,1988739247
533--Pigments; Paints; Varnishes And Related Materials,43249026,53463157,77212338,117369139,127615239,131015295,124555224,111827872,140840926,180970315,220705356,243265767,259276770,264665206,246998518
532--Dyeing & Tanning Extracts,715428,998501,3362859,4439840,3856644,5990291,9949739,7301103,10089275,14496134,23022051,20595899,10988354,14919312,13909987
531--Synthetic Organic Coloring Matter,87319943,94695637,104108246,129976505,155851875,193377736,212319767,144023479,214728435,233914542,239716925,258395271,279221573,243677906,210650745
525--Radioactive And Associated Materials,136795766,141284183,119202589,117024255,108724844,74079065,124630714,68873178,118150777,763709763,260324150,269136450,284746530,130544412,147153371
524--Inorganic Chemicals; Precious Metal Compounds,70226504,69277732,96353585,168147517,228818820,221860535,232905900,123762438,206353654,268159045,237392273,198241029,196050641,150353707,115911781
523--Metallic Salts And Peroxysalts Of Inorganic Acids,101975793,103979733,142499264,151081296,196467954,247863855,359564747,273832493,293496854,451189032,395210337,316311729,363819833,352510449,344982324
522--Inorganic Chemical Elements,205446057,199021564,257404202,345397408,423239674,412279503,774450642,401417906,611757375,895930764,722835695,685024370,724589302,599956827,533169925
